ITEM ID,TIME ID,TIME M ID,TIME Y ID,STATE ID,PARTY ID,FABRIC KGS,FABRIC MTRS,SOLD KGS,SOLD MTRS,RATE,AMOUNT
1,27,3,3,,,1278.7,8640,,,,
100,27,3,3,,,97.1,2520,,,,
100,29,5,3,,,406.5,10620,,,,
100,31,7,3,,,392.5,10440,,,,
100,36,12,3,,,63.4,1620,,,,
101,22,10,2,,,60.1,1260,,,,
101,23,11,2,,,233.3,4950,,,,
101,27,3,3,,,283.5,5940,,,,
101,28,4,3,,,59.5,1260,,,,
102,40,4,4,,,1385.1,32580,,,,
102,41,5,4,,,2037.6,40230,,,,
102,42,6,4,,,2696.5,63270,,,,
102,43,7,4,,,852.6,21060,,,,
102,5,5,1,,,333.5,7387,,,,
103,47,11,4,,,1934.4,38500,,,,
103,48,12,4,,,1228.6,24200,,,,
103,49,1,5,,,140.3,2700,,,,
104,45,9,4,,,887.4,16100,,,,
104,46,10,4,,,581,10500,,,,
104,47,11,4,,,88.4,1659,,,,
105,26,2,3,,,18.7,450,,,,
105,27,3,3,,,281.5,6030,,,,
105,28,4,3,,,565.3,12330,,,,
105,29,5,3,,,556.5,12240,,,,
105,30,6,3,,,545,11610,,,,
105,31,7,3,,,60.9,1240,,,,
109,20,8,2,,,146,2500,,,,
109,36,12,3,,,297.9,7200,,,,
109,38,2,4,,,770.7,17370,,,,
109,40,4,4,,,1528.5,34470,,,,
109,41,5,4,,,1203,28260,,,,
109,42,6,4,,,1554.8,35100,,,,
109,43,7,4,,,168.4,3847,,,,
109,45,9,4,,,130.2,2880,,,,
110,11,11,1,,,415.5,6800,,,,
110,42,6,4,,,3473.6,57000,,,,
110,45,9,4,,,22.9,368,,,,
112,27,3,3,,,46.1,1080,,,,
112,28,4,3,,,167.5,3960,,,,
112,29,5,3,,,644.8,15840,,,,
112,31,7,3,,,381.6,9450,,,,
112,32,8,3,,,232,5760,,,,
112,33,9,3,,,6.5,180,,,,
114,18,6,2,,,9,180,,,,
114,19,7,2,,,820.6,16110,,,,
114,41,5,4,,,542.9,10170,,,,
114,43,7,4,,,75.5,1440,,,,
114,46,10,4,,,3.3,60,,,,
115,24,12,2,,,14.6,300,,,,
115,29,5,3,,,384.9,8130,,,,
115,49,1,5,,,636.7,13110,,,,
115,50,2,5,,,203.3,4290,,,,
116,12,12,1,,,522.9,9090,,,,
116,23,11,2,,,172.5,2880,,,,
116,26,2,3,,,19.3,360,,,,
116,29,5,3,,,732.4,12233,,,,
116,31,7,3,,,1144.2,18360,,,,
116,9,9,1,,,1010.2,18270,,,,
117,20,8,2,,,39,540,,,,
117,22,10,2,,,105.4,1470,,,,
117,25,1,3,,,910.2,12570,,,,
117,29,5,3,,,385.9,5280,,,,
117,35,11,3,,,589.6,8250,,,,
117,36,12,3,,,603.5,8340,,,,
117,37,1,4,,,510.8,6990,,,,
117,44,8,4,,,576.7,7830,,,,
117,45,9,4,,,571.1,7800,,,,
118,11,11,1,,,89.2,1710,,,,
118,12,12,1,,,105.8,1940,,,,
118,25,1,3,,,141.3,2520,,,,
118,32,8,3,,,214.8,3960,,,,
118,38,2,4,,,299.6,5850,,,,
118,39,3,4,,,70.1,1350,,,,
118,42,6,4,,,71.4,1440,,,,
118,43,7,4,,,26.8,540,,,,
119,11,11,1,,,2441.5,47700,,,,
119,12,12,1,,,915.2,17490,,,,
119,38,2,4,,,25.3,450,,,,
119,40,4,4,,,661.8,12600,,,,
119,41,5,4,,,613.5,12420,,,,
119,42,6,4,,,646.5,12690,,,,
119,43,7,4,,,34.6,720,,,,
120,14,2,2,,,1185.2,24210,,,,
120,50,2,5,,,434.6,8370,,,,
120,51,3,5,,,1193,22410,,,,
121,26,2,3,,,820,14850,,,,
121,29,5,3,,,14.9,270,,,,
121,31,7,3,,,202,3510,,,,
121,32,8,3,,,579.6,9540,,,,
121,35,11,3,,,37.4,720,,,,
121,38,2,4,,,814.6,15300,,,,
121,41,5,4,,,991.3,18810,,,,
121,42,6,4,,,743.3,14310,,,,
121,43,7,4,,,419,8370,,,,
122,11,11,1,,,1844,25230,,,,
124,14,2,2,,,9.8,180,,,,
124,44,8,4,,,305.5,6120,,,,
124,45,9,4,,,602,12060,,,,
124,46,10,4,,,39.3,810,,,,
125,23,11,2,,,423.8,6930,,,,
125,24,12,2,,,1309.9,21510,,,,
125,25,1,3,,,46.1,720,,,,
125,26,2,3,,,109.7,1800,,,,
126,20,8,2,,,495.5,6380,,,,
126,25,1,3,,,317.2,4140,,,,
126,26,2,3,,,340.4,4268,,,,
126,35,11,3,,,346.7,4560,,,,
126,37,1,4,,,349.8,4590,,,,
127,40,4,4,,,112.8,1500,,,,
127,41,5,4,,,243.6,3060,,,,
128,46,10,4,,,9.36,120,,,,
129,20,8,2,,,182,1740,,,,
129,21,9,2,,,477.2,4465,,,,
129,33,9,3,,,49,540,,,,
129,34,10,3,,,285.6,2910,,,,
129,35,11,3,,,333.6,3300,,,,
13,40,4,4,,,94.9,790,,,,
132,8,8,1,,,39.6,380,,,,
134,43,7,4,,,349.6,3470,,,,
135,26,2,3,,,416,5730,,,,
135,27,3,3,,,1423.5,20910,,,,
136,26,2,3,,,1550,20253,,,,
136,27,3,3,,,695,10260,,,,
137,40,4,4,,,282.5,2160,,,,
137,46,10,4,,,131.1,990,,,,
137,47,11,4,,,249.7,1890,,,,
138,40,4,4,,,563.1,4440,,,,
138,47,11,4,,,100.4,780,,,,
138,48,12,4,,,535.3,3960,,,,
138,49,1,5,,,492.1,3540,,,,
138,50,2,5,,,154.3,1080,,,,
139,40,4,4,,,141.1,1074,,,,
139,42,6,4,,,703,5220,,,,
14,29,5,3,,,396.7,3360,,,,
140,35,11,3,,,133.7,990,,,,
140,37,1,4,,,84.5,630,,,,
142,47,11,4,,,437.8,3240,,,,
142,48,12,4,,,192.7,1500,,,,
149,11,11,1,,,416.6,3540,,,,
149,27,3,3,,,519,4370,,,,
149,46,10,4,,,161.2,1380,,,,
149,9,9,1,,,167.6,1380,,,,
150,9,9,1,,,398,2910,,,,
152,50,2,5,,,336.4,6975,,,,
154,31,7,3,,,521.71,11324,,,,
156,34,10,3,,,264.8,4500,,,,
156,35,11,3,,,426.4,7200,,,,
156,36,12,3,,,674.5,11460,,,,
156,37,1,4,,,531.3,9210,,,,
156,41,5,4,,,5.4,90,,,,
156,42,6,4,,,61.7,960,,,,
157,15,3,2,,,428.6,7320,,,,
157,18,6,2,,,103.5,1680,,,,
157,38,2,4,,,51.5,820,,,,
158,13,1,2,,,154.2,2280,,,,
158,14,2,2,,,50.3,750,,,,
158,17,5,2,,,102.2,1570,,,,
16,31,7,3,,,72,600,,,,
16,44,8,4,,,715,5190,,,,
160,35,11,3,,,84.2,1140,,,,
160,36,12,3,,,88.6,1207,,,,
160,38,2,4,,,177,2280,,,,
160,39,3,4,,,144.3,1890,,,,
160,40,4,4,,,13.9,180,,,,
160,41,5,4,,,22.5,300,,,,
160,42,6,4,,,146.8,2007,,,,
161,35,11,3,,,191.2,1860,,,,
161,36,12,3,,,659.3,6510,,,,
161,37,1,4,,,113,1110,,,,
162,32,8,3,,,91.5,900,,,,
162,33,9,3,,,372.4,3750,,,,
162,44,8,4,,,195.5,1920,,,,
162,51,3,5,,,906.4,9030,,,,
164,34,10,3,,,1520.6,22765,,,,
164,8,8,1,,,109.3,1680,,,,
165,33,9,3,,,176.5,2640,,,,
165,34,10,3,,,459.8,7080,,,,
165,35,11,3,,,667.4,9900,,,,
166,33,9,3,,,62.4,630,,,,
166,38,2,4,,,317.7,3030,,,,
167,24,12,2,,,49.7,250,,,,
167,42,6,4,,,142.3,900,,,,
167,45,9,4,,,274.6,1700,,,,
174,34,10,3,,,1942.8,6480,,,,
174,37,1,4,,,1170.9,3971,,,,
174,46,10,4,,,55.3,185,,,,
174,6,6,1,,,1426.3,4680,,,,
175,18,6,2,,,54,540,,,,
175,27,3,3,,,100,0,,,,
176,30,6,3,,,355.55,3700,,,,
176,40,4,4,,,740,7400,,,,
178,12,12,1,,,278,2631.2,,,,
178,33,9,3,,,260,2600,,,,
178,49,1,5,,,116.5,1040,,,,
180,46,10,4,,,29.9,300,,,,
181,46,10,4,,,43.2,480,,,,
184,23,11,2,,,374.9,3072,,,,
184,25,1,3,,,719.7,5670,,,,
184,26,2,3,,,747.9,6570,,,,
184,38,2,4,,,56.9,420,,,,
185,37,1,4,,,151.8,1140,,,,
185,39,3,4,,,133.2,990,,,,
188,5,5,1,,,240.8,1117,,,,
188,6,6,1,,,128.4,660,,,,
189,28,4,3,,,108.9,550,,,,
189,37,1,4,,,18.35,100,,,,
189,39,3,4,,,945.1,5032,,,,
189,41,5,4,,,520.9,2900,,,,
189,46,10,4,,,18,100,,,,
19,33,9,3,,,946.4,6775,,,,
19,45,9,4,,,2174,16230,,,,
19,7,7,1,,,1449.8,10508,,,,
191,15,3,2,,,46,900,,,,
191,46,10,4,,,10.2,180,,,,
192,42,6,4,,,30.8,630,,,,
192,43,7,4,,,1070.06,20369,,,,
192,44,8,4,,,1183.2,22410,,,,
192,45,9,4,,,891,16290,,,,
192,46,10,4,,,350.4,6480,,,,
192,48,12,4,,,293.4,5010,,,,
193,20,8,2,,,161.9,4844,,,,
193,6,6,1,,,54.1,1512,,,,
194,40,4,4,,,25.5,660,,,,
194,41,5,4,,,445,11130,,,,
194,42,6,4,,,600.4,15450,,,,
194,43,7,4,,,341.5,9120,,,,
194,44,8,4,,,53.2,1470,,,,
195,10,10,1,,,205.1,5208,,,,
195,37,1,4,,,949.9,25020,,,,
195,42,6,4,,,1952.8,51840,,,,
195,8,8,1,,,884.2,24780,,,,
196,12,12,1,,,78.8,2040,,,,
196,14,2,2,,,1433.5,39570,,,,
196,29,5,3,,,31.5,810,,,,
196,37,1,4,,,250.2,6540,,,,
196,51,3,5,,,433.4,11670,,,,
196,8,8,1,,,382.4,10650,,,,
199,34,10,3,,,253.8,3300,,,,
199,35,11,3,,,395.2,5100,,,,
199,36,12,3,,,694,9060,,,,
199,37,1,4,,,331.5,4350,,,,
199,38,2,4,,,85.98,1092,,,,
199,43,7,4,,,16.15,210,,,,
20,46,10,4,,,7,30,,,,
200,6,6,1,,,112.2,1580,,,,
201,41,5,4,,,269.6,4500,,,,
203,37,1,4,,,177.7,2370,,,,
203,39,3,4,,,482.6,6780,,,,
203,40,4,4,,,93.8,1365,,,,
204,46,10,4,,,11.2,120,,,,
205,46,10,4,,,22,240,,,,
207,29,5,3,,,310.3,1320,,,,
209,26,2,3,,,343.7,4230,,,,
209,48,12,4,,,171.6,2040,,,,
209,50,2,5,,,341.3,4020,,,,
210,46,10,4,,,2.5,30,,,,
211,43,7,4,,,682.9,8190,,,,
211,49,1,5,,,604.2,7050,,,,
212,46,10,4,,,38.7,480,,,,
213,31,7,3,,,36.9,360,,,,
213,36,12,3,,,498.9,4950,,,,
213,40,4,4,,,694.3,6660,,,,
213,46,10,4,,,70.3,750,,,,
213,7,7,1,,,309.8,3120,,,,
213,9,9,1,,,368,3720,,,,
216,38,2,4,,,887.4,5100,,,,
216,40,4,4,,,809.3,4700,,,,
216,42,6,4,,,870.2,5000,,,,
217,13,1,2,,,111.2,560,,,,
217,17,5,2,,,487.8,2474,,,,
217,19,7,2,,,40.4,200,,,,
217,27,3,3,,,263.7,1300,,,,
217,29,5,3,,,506.2,2400,,,,
217,31,7,3,,,942,4600,,,,
219,28,4,3,,,82.1,240,,,,
22,22,10,2,,,37.5,450,,,,
22,5,5,1,,,220.1,2700,,,,
22,7,7,1,,,159.3,1950,,,,
221,15,3,2,,,66.1,600,,,,
221,29,5,3,,,196,1800,,,,
221,30,6,3,,,247.2,2310,,,,
222,22,10,2,,,309,4692,,,,
223,6,6,1,,,60.7,720,,,,
224,32,8,3,,,123.3,1425,,,,
224,33,9,3,,,93.8,1165,,,,
225,36,12,3,,,902.7,11400,,,,
225,37,1,4,,,332.8,4170,,,,
225,39,3,4,,,245.5,3000,,,,
225,46,10,4,,,18.3,210,,,,
226,14,2,2,,,549.8,4800,,,,
226,46,10,4,,,17.5,150,,,,
23,11,11,1,,,18.8,0,,,,
23,5,5,1,,,1337.3,15450,,,,
23,7,7,1,,,26,300,,,,
233,5,5,1,,,967.4,13822,,,,
238,22,10,2,,,1223.2,19400,,,,
238,23,11,2,,,245.9,3850,,,,
238,32,8,3,,,0,350,,,,
239,12,12,1,,,1.9,32,,,,
239,8,8,1,,,1019.3,16205,,,,
24,12,12,1,,,3192.9,13470,,,,
24,49,1,5,,,1545.6,6390,,,,
24,50,2,5,,,52.4,208,,,,
241,34,10,3,,,108.9,725,,,,
25,28,4,3,,,1915.5,8640,,,,
25,35,11,3,,,2312,10350,,,,
25,49,1,5,,,379.7,1780,,,,
250,36,12,3,,,147.6,2300,,,,
250,38,2,4,,,590.6,8754,,,,
251,36,12,3,,,130.9,1652,,,,
251,38,2,4,,,279.2,3407,,,,
251,42,6,4,,,153.2,1819,,,,
251,46,10,4,,,77.4,870,,,,
253,35,11,3,,,461.4,11050,,,,
253,36,12,3,,,1303,30100,,,,
253,37,1,4,,,373.8,8750,,,,
254,13,1,2,,,293.3,7500,,,,
254,14,2,2,,,1100.1,28600,,,,
254,17,5,2,,,18.4,470,,,,
254,40,4,4,,,10,250,,,,
257,34,10,3,,,1831.1,43950,,,,
257,35,11,3,,,1503.3,35350,,,,
257,36,12,3,,,1193.2,28600,,,,
257,44,8,4,,,3171.29,78150,,,,
257,45,9,4,,,209.1,5000,,,,
257,7,7,1,,,239.2,5900,,,,
258,32,8,3,,,113.1,2750,,,,
258,33,9,3,,,1386.1,33850,,,,
258,34,10,3,,,596.6,14400,,,,
258,35,11,3,,,362,8650,,,,
258,36,12,3,,,44.5,1100,,,,
259,30,6,3,,,1286.1,31000,,,,
259,31,7,3,,,1417.2,34050,,,,
259,32,8,3,,,336.8,8100,,,,
259,7,7,1,,,909.6,23000,,,,
259,8,8,1,,,704.4,17800,,,,
26,11,11,1,,,366.4,1560,,,,
26,12,12,1,,,182.9,780,,,,
26,43,7,4,,,1327.8,5604,,,,
260,30,6,3,,,661.6,15500,,,,
260,31,7,3,,,492.6,11800,,,,
260,34,10,3,,,421.3,9050,,,,
260,35,11,3,,,498.2,10500,,,,
260,36,12,3,,,491.7,10550,,,,
260,37,1,4,,,521.2,11500,,,,
260,38,2,4,,,166.7,3600,,,,
260,8,8,1,,,1313.7,32000,,,,
261,14,2,2,,,939,22500,,,,
261,39,3,4,,,118.6,2800,,,,
261,40,4,4,,,419.5,10250,,,,
261,41,5,4,,,607.9,15050,,,,
261,42,6,4,,,47.2,1150,,,,
262,4,4,1,,,998.6,6200,,,,
262,8,8,1,,,677.7,4565,,,,
262,9,9,1,,,740.2,4880,,,,
264,30,6,3,,,1926.3,33400,,,,
264,31,7,3,,,1461.2,25400,,,,
264,32,8,3,,,1478.5,25150,,,,
264,43,7,4,,,2276.6,39700,,,,
264,44,8,4,,,1271.9,22100,,,,
264,45,9,4,,,775.7,13700,,,,
264,8,8,1,,,1231.4,21450,,,,
264,9,9,1,,,2837.1,50800,,,,
265,19,7,2,,,1365,16775,,,,
265,20,8,2,,,1570.7,20100,,,,
265,21,9,2,,,8.1,100,,,,
265,23,11,2,,,357.2,4511,,,,
265,32,8,3,,,1361.5,17200,,,,
265,44,8,4,,,2111.7,26580,,,,
265,46,10,4,,,771.4,9550,,,,
267,48,12,4,,,140.2,2385,,,,
268,33,9,3,,,68.5,1144,,,,
268,51,3,5,,,260.9,4303,,,,
270,26,2,3,,,923.5,5300,,,,
270,33,9,3,,,777.3,4500,,,,
270,39,3,4,,,1498.5,8566,,,,
